puntaje	puntaje_centrada	resultado_promedio	resultado_mat	resultado_lect	pct_bl	tam_curso	prom_exp_doc	n_doc_ft	cohorte	tratamiento
107	7	-0,583329201	-0,324162535	-0,842495871	19,03000069	18,48275948	10,24242401	29	2005	0
107	7	-0,292462409	0,142064266	-0,72698906	1,25	18,41025734	16,59523773	39	2008	0
107	7	-0,371407151	-0,588859042	-0,15395527	18,07999992	18,36000061	13	25	2009	0
107	7	-0,086544573	-0,125640155	-0,047448989	0,439999998	18,29729652	16,89999962	37	2008	0
107	7	-0,397092819	-0,459919759	-0,334265902	49,47999954	18,2857151	11,95454502	21	2006	0
107	7	0,7231704	0,976259318	0,470081529	0,379999995	18,2790699	14,58695698	43	2009	0
107	7	0,331086338	0,540111665	0,122061006	1,24000001	18,27272797	14,78723431	44	2008	0
107	7	-0,34110859	-0,16374041	-0,518476765	1,480000019	18,25	12,01785755	52	2007	0
107	7	-0,188301861	-0,126642794	-0,249960931	2,029999971	18,17391396	13,40384579	46	2009	0
107	7	-0,636019647	-0,85856874	-0,413470573	17,20000076	18,16666603	12,17241383	24	2008	0
107	7	-0,41074276	-0,07049505	-0,750990476	0,910000026	17,83783722	15,67500019	37	2009	0
107	7	0,313908815	0,597262047	0,030555611	1,419999957	17,64091873	13,19999981	47,90000001	2008	0
107	7	-0,644113719	-0,620341884	-0,667885575	55,08000183	17,625	10,65384579	24	2005	0
107	7	-0,067932084	-0,350030603	0,214166438	44,41999817	17,5892849	9,25	22,40000001	2009	0
107	7	-0,787013233	-1,002146543	-0,571879914	14,61999989	17,51642799	14,40816307	44,12999997	2008	0
107	7	-0,606034279	-0,715793049	-0,496275456	48,31000137	17,5	13	22	2007	0
107	7	-0,758616567	-0,850547634	-0,666685504	15,32999992	17,34090996	15,65957451	44	2007	0
107	7	-0,785497427	-0,756700691	-0,814294208	17,25	17,26666641	17,35416603	45	2005	0
107	7	-0,831399798	-0,950811462	-0,711988176	16,36000061	17,25	11,74193573	28	2007	0
107	7	-0,254261434	-0,131054402	-0,37746845	15,05000019	16,2553196	16,87999916	47	2006	0
107	7	-0,095926367	-0,188806367	-0,003046371	44,11999893	15,98290634	9	23,40000001	2008	0
107	7	1,075333357	0,892438757	1,258228004	4,760000229				2010	0
107	7	1,065266728	0,841103677	1,289429844	6,860000134				2011	0
107	7	-0,369081765	-0,297091302	-0,4410722	8,819999695				2010	0
107	7	0,019723924	0,000491741	0,038956106	9,170000076				2011	0
107	7	-0,255512327	-0,481576746	-0,029447928	42,18999863				2010	0
107	7	0,287054151	0,341255072	0,232853254	42,52999878				2011	0
107	7	0,230588153	0,546127494	-0,084951201	3,309999943				2010	0
107	7	-0,026562601	0,246338648	-0,29946385	2,99000001				2011	0
107	7	0,88740468	0,800998146	0,973811232	0,709999979				2010	0
107	7	0,870853066	0,683889994	1,057816186	0,370000005				2011	0
107	7	1,075789571	1,441483481	0,710095682	1,610000014				2010	0
107	7	0,400086522	0,53710375	0,263069321	1,24000001				2011	0
107	7	0,545757592	0,663436173	0,428079052	2,339999914				2010	0
107	7	1,392237544	1,580850203	1,203624784	2,220000029				2011	0
107	7	0,709125757	0,942169616	0,476081882	3,569999933				2010	0
107	7	0,939880669	1,324174802	0,555586571	2,25999999				2011	0
107	7	0,687719405	0,432829368	0,942609393	0,730000019				2010	0
107	7	1,266600966	1,558190577	0,975011303	0,200000003				2011	0
107	7	0,209374115	0,380692178	0,038056053	0,829999983				2010	0
107	7	0,563501894	0,580417724	0,54658604	0,180000007				2011	0
107	7	0,932322204	1,279056079	0,58558834	0,270000011				2010	0
107	7	1,489069462	1,834517688	1,143621246	0,779999971				2011	0
107	7	-0,121007919	-0,095561007	-0,146454827	1,610000014				2010	0
107	7	0,110684998	0,043805714	0,177564279	1,769999981				2011	0
107	7	0,981571972	0,693515322	1,269628676	0,569999993				2010	0
107	7	1,301829815	1,268027058	1,335632568	0,300000012				2011	0
107	7	0,465317607	0,441652585	0,488982643	0,649999976				2010	0
107	7	0,305746228	0,315721217	0,29577125	0,800000012				2011	0
107	7	0,233259141	-0,059666556	0,526184837	13,15999985				2010	0
107	7	1,611814022	1,552575803	1,671052347	15,63000011				2011	0
107	7	0,821729779	0,901261974	0,742197575	4,139999866				2010	0
107	7	0,850413859	0,809821363	0,89100635	3,420000076				2011	0
107	7	0,821511269	0,672125705	0,970896775	20,70999908				2010	0
107	7	0,479840606	0,129364181	0,830317057	21,36000061				2011	0
107	7	-0,167859972	-0,172764155	-0,1629558	14,75				2010	0
107	7	0,294047862	0,317525966	0,270569764	12,14999962				2011	0
108	8	-0,858456671	-0,799413082	-0,917500294	2,799999952	22,60000038	14,7096777	30	2007	0
108	8	-0,074623123	-0,265006877	0,115760635	11,94999981	22,03333282	13,19444466	30,00000003	2009	0
108	8	0,55541575	0,513842542	0,596989012	9,949999809	21,95402336	10,06818199	34,80000001	2006	0
108	8	-0,181208774	-0,248964664	-0,113452881	10,5	21,71962547	14,3125	26,75	2008	0
108	8	-0,833665669	-1,196257314	-0,471073969	16,09000015	21,37614632	16,26086998	21,80000001	2007	0
108	8	1,212338686	1,201251349	1,223425952	9,890000343	21,29213524	12,48888874	35,60000005	2009	0
108	8	-0,196767554	0,353955157	-0,747490269	0,090000004	21,25490189	13,82758617	51	2006	0
108	8	-0,181023493	-0,571413136	0,209366155	12,64999962	21,19149017	12,38461494	23,50000001	2009	0
108	8	0,520464242	0,553145962	0,487782572	9,949999809	21,17977524	11	35,60000002	2007	0
108	8	0,287454218	0,08952602	0,485382431	9,640000343	21,10169411	9,372093201	35,40000007	2005	0
108	8	1,053928018	0,889230315	1,218625669	8,260000229	21,09550476	11,68181801	35,60000005	2008	0
108	8	-0,486621022	-0,710980385	-0,262261656	18,96999931	21,08695602	14,79166698	23	2006	0
108	8	-0,238794342	0,07589014	-0,553478829	0	21,01886749	13,23333359	53	2005	0
108	8	-0,388638824	-0,573819468	-0,203458189	6,360000134	20,9629631	12,0625	27	2009	0
108	8	-0,195347413	-0,161735134	-0,228959693	1,399999976	20,77419281	14	31	2008	0
108	8	-0,589995027	-0,84152389	-0,33846615	22,72999954	20,66666603	12,35135174	33	2006	0
108	8	0,523178935	0,603277877	0,443079936	16,67000008	20,54794502	13,71428585	29,2	2009	0
108	8	0,064964361	-0,125640155	0,255568879	1,070000052	20,53125	12,15151501	32	2009	0
108	8	-0,012692031	0,145072181	-0,170456243	10,39999962	20,47297287	11,67647076	29,60000002	2006	0
